(aaltoan01,Antti,Aalto)
(esaule01,Len,Esau)
(eschero01,Robert,Esche)
(esposph01,Phil,Esposito)
(esposto01,Tony,Esposito)
(essenbo01,Bob,Essensa)
(evansbr01,Brennan,Evans)
(evansch01,Chris,Evans)
(evanscl01,Claude,Evans)
(evansda01,Daryl,Evans)
(evansdo01,Doug,Evans)
(evansja01,Jack,Evans)
(evansjo01,John Paul,Evans)
(evanske01,Kevin,Evans)
(evanspa01,Paul,Evans)
(evanssh01,Shawn,Evans)
(evansst01,Stewart,Evans)
(evasode01,Dean,Evason)
(evobi01,Bill,Evo)
(ewento01,Todd,Ewen)
(exelbga01,Garnet,Exelby)
(exelbra01,Randy,Exelby)
(ezinibi01,Bill,Ezinicki)
(faheybr01,Brian,Fahey)
(faheyji01,Jim,Fahey)
(faheytr01,Trevor,Fahey)
(fairbbi01,Bill,Fairbairn)
(faircca01,Cade,Fairchild)
(faircke01,Kelly,Fairchild)
(falkebo01,Bob,Falkenberg)
(falkju01,Justin,Falk)
(falkmcr01,Craig,Falkman)
(fallopa01,Pat,Falloon)
(fankhsc01,Scott,Fankhouser)
(fardari01,Richard,Farda)
(farkaje01,Jeff,Farkas)
(farrawa01,Walt,Farrant)
(farremi01,Mike,Farrell)
(farrida01,Dave,Farrish)
(farrro01,Rocky,Farr)
(fashogo01,Gordie,Fashoway)
(fastbr01,Brad,Fast)
(fatadr01,Drew,Fata)
(fatari01,Rico,Fata)
(faubema01,Mario,Faubert)
(faulkal01,Alex,Faulkner)
(faulkju01,Justin,Faulk)
(fausste01,Ted,Fauss)
(faustan01,Andre,Faust)
(faveldo01,Doug,Favell)
(faynema01,Mark,Fayne)
(feamsda01,Dave,Feamster)
(feathgl01,Glen,Featherstone)
(feathto01,Tony,Featherstone)
(federbe01,Bernie,Federko)
(fedorfe01,Fedor,Fedorov)
(fedormi01,Mike,Fedorko)
(fedorse01,Sergei,Fedorov)
(fedorto01,Todd,Fedoruk)
(fedotan01,Anatoli,Fedotov)
(fedotru01,Ruslan,Fedotenko)
(fedykbr01,Brent,Fedyk)
(fehrer01,Eric,Fehr)
(felixch01,Chris,Felix)
(felsnbr01,Brian,Felsner)
(felsnde01,Denny,Felsner)
(feltrto01,Tony,Feltrin)
(fentopa01,Paul,Fenton)
(fenyvda01,David,Fenyves)
(ferenan01,Andrew,Ference)
(ferenbr01,Brad,Ference)
(fergucr01,Craig,Ferguson)
(ferguge01,George,Ferguson)
(fergujo01,John,Ferguson)
(fergulo01,Lorne,Ferguson)
(ferguno01,Norm,Ferguson)
(fergusc01,Scott,Ferguson)
(ferguto01,Tom,Fergus)
(ferlajo01,Jonathan,Ferland)
(fernama01,Manny,Fernandez)
(fernema01,Mark,Ferner)
(ferrach01,Chris,Ferraro)
(ferrape01,Peter,Ferraro)
(ferrara01,Ray,Ferraro)
(ferribe01,Benn,Ferriero)
(festebr01,Brett,Festerling)
(fetisvi01,Viacheslav,Fetisov)
(fibigje01,Jesse,Fibiger)
(fichaer01,Eric,Fichaud)
(fiddlve01,Vern,Fiddler)
(fidlemi01,Mike,Fidler)
(fieldgu01,Guyle,Fielder)
(fieldwi01,Wilf,Field)
(figalmi01,Milan,Figala)
(filatni01,Nikita,Filatov)
(filewjo01,Jonathan,Filewich)
(filimdm01,Dmitri,Filimonov)
(fillibo01,Bob,Fillion)
(fillima01,Marcel,Fillion)
(filmoto01,Tommy,Filmore)
(filppva01,Valtteri,Filppula)
(fingeje01,Jeff,Finger)
(finkbll01,Lloyd,Finkbeiner)
(finlebr01,Brian,Finley)
(finleje01,Jeff,Finley)
(finlejo01,Joe,Finley)
(finnesi01,Sid,Finney)
(finnied01,Ed,Finnigan)
(finnifr01,Frank,Finnigan)
(finnst01,Steven,Finn)
(fiorepe01,Peter,Fiorentino)
(fischji01,Jiri,Fischer)
(fischpa01,Patrick,Fischer)
(fischro01,Ron,Fischer)
(fisetst01,Stephane,Fiset)
(fisheal01,Alvin,Fisher)
(fishecr01,Craig,Fisher)
(fishedu01,Dunc,Fisher)
(fishejo01,Joe,Fisher)
(fishejo02,John,Fisher)
(fishemi01,Mike,Fisher)
(fistrma01,Mark,Fistric)
(fitchbo01,Bob,Fitchner)
(fitzgru01,Rusty,Fitzgerald)
(fitzgto01,Tom,Fitzgerald)
(fitzgza01,Zack,Fitzgerald)
(fitzpma01,Mark,Fitzpatrick)
(fitzpro01,Ross,Fitzpatrick)
(fitzpro02,Rory,Fitzpatrick)
(fitzpsa01,Sandy,Fitzpatrick)
(flahewa01,Wade,Flaherty)
(flamafe01,Fern,Flaman)
(flatlpa01,Pat,Flatley)
(fleisto01,Tomas,Fleischmann)
(flemige01,Gerry,Fleming)
(flemire01,Reggie,Fleming)
(flescjo01,John,Flesch)
(fletcst01,Steven,Fletcher)
(flettbi01,Bill,Flett)
(fleurma01,Marc-Andre,Fleury)
(fleurth01,Theoren,Fleury)
(flichto01,Todd,Flichel)
(flinnry01,Ryan,Flinn)
(flockro01,Rob,Flockhart)
(flockro02,Ron,Flockhart)
(floodma01,Mark,Flood)
(floydla01,Larry,Floyd)
(fochtda01,Dan,Focht)
(fogarbr01,Bryan,Fogarty)
(fogolle01,Lee,Fogolin)
(fogolle02,Lee,Fogolin)
(folcope01,Peter,Folco)
(foleyge01,Gerry,Foley)
(foleyri01,Rick,Foley)
(foligma01,Marcus,Foligno)
(foligmi01,Mike,Foligno)
(foligni01,Nick,Foligno)
(folkbi01,Bill,Folk)
(fontajo01,Jon,Fontas)
(fontale01,Len,Fontaine)
(fonteva01,Val,Fonteyne)
(fontilo01,Lou,Fontinato)
(footead01,Adam,Foote)
(forbeco01,Colin,Forbes)
(forbeda01,Dave,Forbes)
(forbeja01,Jake,Forbes)
(forbemi01,Mike,Forbes)
(fordbr01,Brian,Ford)
(fordmi01,Mike,Ford)
(foreyco01,Connie,Forey)
(forregr01,Grindy,Forrester)
(forsbpe01,Peter,Forsberg)
(forseja01,Jack,Forsey)
(forslgu01,Gus,Forslund)
(forslto01,Tomas,Forslund)
(forsyal01,Alex,Forsyth)
(fortida01,Dave,Fortier)
(fortifl01,Florent,Fortier)
(fortije01,Jean-Francois,Fortin)
(fortima01,Marc,Fortier)
(fortira01,Ray,Fortin)
(fortujo01,Joe,Fortunato)
(fortuma01,Maxime,Fortunus)
(fosteal01,Alex,Foster)
(fostebr01,Brian,Foster)
(fosteco01,Corey,Foster)
(fostedw01,Dwight,Foster)
(fostehe01,Herb,Foster)
(fosteku01,Kurtis,Foster)
(fosteno01,Norm,Foster)
(fosteyi01,Yip,Foster)
(fotiuni01,Nick,Fotiu)
(foucakr01,Kristopher,Foucault)
(fountmi01,Mike,Fountain)
(fournja01,Jack,Fournier)
(fowleca01,Cam,Fowler)
(fowlehe01,Hec,Fowler)
(fowleji01,Jimmy,Fowler)
(fowleto01,Tom,Fowler)
(foxgr01,Greg,Fox)
(foxji01,Jim,Fox)
(foyma01,Matt,Foy)
(foystfr01,Frank,Foyston)
(frampbo01,Bob,Frampton)
(francbo01,Bobby,Francis)
(francem01,Emile,Francis)
(franclo01,Lou,Franceschetti)
(francro01,Ron,Francis)
(frankji01,Jimmy,Franks)
(fransco01,Cody,Franson)
(franzjo01,Johan,Franzen)
(frasear01,Archie,Fraser)
(frasech01,Charles,Fraser)
(fraseco01,Colin,Fraser)
(frasecu01,Curt,Fraser)
(frasego01,Gord,Fraser)
(fraseha01,Harvey,Fraser)
(fraseia01,Iain,Fraser)
(fraseja01,Jack,Fraser)
(fraseja02,Jamie,Fraser)
(frasema01,Mark,Fraser)
(frasema02,Matt,Fraser)
(fraseri01,Rick,Fraser)
(frasesc01,Scott,Fraser)
(frattma01,Matt,Frattin)
(frawlda01,Dan,Frawley)
(freadky01,Kyle,Freadrich)
(frechcl01,Clayton,Frechette)
(fredera01,Ray,Frederick)
(fredhkr01,Kris,Fredheim)
(fredrfr01,Frank,Fredrickson)
(freerma01,Mark,Freer)
(frencjo01,John,French)
(frewir01,Irv,Frew)
(fridati01,Tim,Friday)
(fridgda01,Dan,Fridgen)
(frieddo01,Doug,Friedman)
(friesje01,Jeff,Friesen)
(frieska01,Karl,Friesen)
(friesro01,Ron,Friest)
(frigle01,Len,Frig)
(frisctr01,Trevor,Frischmon)
(fritsda01,Dan,Fritsche)
(fritsja01,Jamie,Fritsch)
(fritzmi01,Mitch,Fritz)
(froesbo01,Bob,Froese)
(frogrjo01,Jonas,Frogren)
(frolimi01,Michael,Frolik)
(froloal01,Alexander,Frolov)
(frostha01,Harry,Frost)
(frycemi01,Miroslav,Frycer)
(frydabo01,Bob,Fryday)
(ftorero01,Robbie,Ftorek)
(fuhrgr01,Grant,Fuhr)
(fukufyu01,Yutaka,Fukufuji)
(fullala01,Larry,Fullan)
(funkmi01,Michael,Funk)
(fuscoma01,Mark,Fusco)
(fusseow01,Owen,Fussey)
(gaborma01,Marian,Gaborik)
(gadsbbi01,Bill,Gadsby)
(gaetzli01,Link,Gaetz)
(gagejo01,Jody,Gage)
(gagejo02,Joaquin,Gage)
(gagnear01,Art,Gagne)
(gagneda01,Dave,Gagner)
(gagnepa01,Paul,Gagne)
(gagnepi01,Pierre,Gagne)
(gagnesa01,Sam,Gagner)
(gagnesi01,Simon,Gagne)
(gagnoaa01,Aaron,Gagnon)
(gagnoda01,David,Gagnon)
(gagnoge01,Germain,Gagnon)
(gagnojo01,Johnny,Gagnon)
(gagnose01,Sean,Gagnon)
(gainebo01,Bob,Gainey)
(gainest01,Steve,Gainey)
(gainodu01,Dutch,Gainor)
(galanma01,Maxim,Galanov)
(galarmi01,Michel,Galarneau)
(galbrpe01,Percy,Galbraith)
(galiatj01,T.J.,Galiardi)
(gallage01,Gerard,Gallant)
(gallago01,Gord,Gallant)
(gallajo01,John,Gallagher)
(gallega01,Garry,Galley)
(gallido01,Don,Gallinger)
(gallija01,Jamie,Gallimore)
(gamacsi01,Simon,Gamache)
(gamblbr01,Bruce,Gamble)
(gambldi01,Dick,Gamble)
(gambltr01,Troy,Gamble)
(gambuga01,Gary,Gambucci)
(ganchpe01,Perry,Ganchar)
(gansda01,Dave,Gans)
(garbury01,Ryan,Garbutt)
(gardibe01,Bert,Gardiner)
(gardibr01,Bruce,Gardiner)
(gardich01,Charlie,Gardiner)
(gardihe01,Herb,Gardiner)
(gardija01,Jake,Gardiner)
(gardnbi01,Bill,Gardner)
(gardnca01,Cal,Gardner)
(gardnda01,Dave,Gardner)
(gardnge01,George,Gardner)
(gardnji01,Jimmy,Gardner)
(gardnpa01,Paul,Gardner)
(gareda01,Danny,Gare)
(gariera01,Ray,Gariepy)
(garlasc01,Scott,Garland)
(garneje01,Jean-Claude,Garneau)
(garnemi01,Michael,Garnett)
(garnero01,Rob,Garner)
(garnety01,Tyrone,Garner)
(garonma01,Mathieu,Garon)
(garpejo01,Johan,Garpenlov)
(garrejo01,John,Garrett)
(garrere01,Red,Garrett)
(garrija01,Jason,Garrison)
(gartnmi01,Mike,Gartner)
(garwaro01,Ron,Garwasiuk)
(gassobo01,Bob,Gassoff)
(gassobr01,Brad,Gassoff)
(gatemma01,Marty,Gateman)
(gatheda01,Dave,Gatherum)
(gatzost01,Steve,Gatzos)
(gaudean01,Andre,Gaudette)
(gaudrar01,Armand,Gaudreault)
(gaudrle01,Leo,Gaudreault)
(gaudrro01,Rob,Gaudreau)
(gaulho01,Horace,Gaul)
(gaulije01,Jean-Marc,Gaulin)
(gaulmi01,Mike,Gaul)
(gaumeda01,Dallas,Gaume)
(gauncca01,Cameron,Gaunce)
(gaustpa01,Paul,Gaustad)
(gauthar01,Art,Gauthier)
(gauthda01,Daniel,Gauthier)
(gauthde01,Denis,Gauthier)
(gauthfe01,Fern,Gauthier)
(gauthga01,Gabe,Gauthier)
(gauthje01,Jean,Gauthier)
(gauthlu01,Luc,Gauthier)
(gauthpa01,Paul,Gauthier)
(gauthse01,Sean,Gauthier)
(gauvrjo01,Jocelyn,Gauvreau)
(gaveyaa01,Aaron,Gavey)
(gavinst01,Stew,Gavin)
(gealebo01,Bob,Geale)
(geege01,George,Gee)
(geldaga01,Gary,Geldart)
(gelinja01,Jack,Gelineau)
(gelinma01,Martin,Gelinas)
(gellasa01,Sam,Gellard)
(gendrje01,Jean-Guy,Gendron)
(gendrma01,Martin,Gendron)
(gengebo01,Bob,Genge)
(genowch01,Chay,Genoway)
(geoffbe01,Bernie,Geoffrion)
(geoffbl01,Blake,Geoffrion)
(geoffda01,Danny,Geoffrion)
(georggr01,Greg,George)
(georgwe01,Wes,George)
(gerange01,Gerry,Geran)
(gerared01,Eddie,Gerard)
(gerbema01,Martin,Gerber)
(gerbena01,Nathan,Gerbe)
(germaer01,Eric,Germain)
(germyca01,Carsen,Germyn)
(gernake01,Ken,Gernander)
(gervabr01,Bruno,Gervais)
(getlira01,Ray,Getliffe)
(getzlry01,Ryan,Getzlaf)
(giacoed01,Ed,Giacomin)
(giallma01,Mario,Giallonardo)
(gibbobr01,Brian,Gibbons)
(gibboge01,Gerrard,Gibbons)
(gibbsba01,Barry,Gibbs)
(gibsodo01,Doug,Gibson)
(gibsodo02,Don,Gibson)
(gibsoja01,Jack,Gibson)
(gibsoji01,Jimmy,Gibson)
(gibsojo01,John,Gibson)
(giesegu01,Gus,Giesebrecht)
(giffile01,Lee,Giffin)
(gigueje01,Jean-Sebastien,Giguere)
(gilbeed01,Ed,Gilbert)
(gilbegi01,Gilles,Gilbert)
(gilbegr01,Greg,Gilbert)
(gilbeje01,Jeannot,Gilbert)
(gilbero01,Rod,Gilbert)
(gilbest01,Stan,Gilbertson)
(gilbeto01,Tom,Gilbert)
(gilchbr01,Brent,Gilchrist)
(gilescu01,Curt,Giles)
(gilhera01,Randy,Gilhen)
(gillan01,Andre,Gill)
(gilleba01,Barney,Gillerain)
(gilledo01,Don,Gillen)
(gilleha01,Hammy,Gillespie)
(gillha01,Hal,Gill)
(gillibi01,Bill,Gilligan)
(gillicl01,Clark,Gillies)
(gillico01,Colton,Gillies)
(gillifa01,Farrand,Gillie)
(gillije01,Jere,Gillis)
(gillimi01,Mike,Gillis)
(gillipa01,Paul,Gillis)
(gillitr01,Trevor,Gillies)
(gilloru01,Russ,Gillow)
(gillto01,Todd,Gill)
(gilmobi01,Billy,Gilmour)
(gilmoda01,Dave,Gilmour)
(gilmodo01,Doug,Gilmour)
(gilmola01,Larry,Gilmour)
(gilmoto01,Tom,Gilmore)
(gilroma01,Matt,Gilroy)
(gimaejr01,Jrek,Gimaev)
(gimaese01,Sergei,Gimaev)
(gingrga01,Gaston,Gingras)
(giontbr01,Brian,Gionta)
(giontst01,Stephen,Gionta)
(giordma01,Mark,Giordano)
(girarbo01,Bob,Girard)
(girarda01,Dan,Girardi)
(girarjo01,Jonathan,Girard)
(girarke01,Kenny,Girard)
(giroual01,Alexandre,Giroux)
(girouar01,Art,Giroux)
(giroucl01,Claude,Giroux)
(giroula01,Larry,Giroux)
(giroupi01,Pierre,Giroux)
(giroura01,Raymond,Giroux)
(giroure01,Rejean,Giroux)
(giulije01,Jeff,Giuliano)
(givenda01,Dave,Given)
(gladnbo01,Bob,Gladney)
(gladuje01,Jean-Paul,Gladu)
(glasspu01,Pud,Glass)
(glassta01,Tanner,Glass)
(gleasti01,Tim,Gleason)
(glenccu01,Curtis,Glencross)
(glennbr01,Brian,Glennie)
(glennma01,Matt,Glennon)
(glennsc01,Scott,Glennie)
(glenwbr01,Brian,Glenwright)
(globeal01,Alan,Globensky)
(globkro01,Rob,Globke)
(gloeclo01,Lorry,Gloeckner)
(gloorda01,Dan,Gloor)
(glovefr01,Fred,Glover)
(gloveho01,Howie,Glover)
(glumami01,Mike,Glumac)
(glynnbr01,Brian,Glynn)
(gocma01,Marcel,Goc)
(gocsa01,Sascha,Goc)
(godarer01,Eric,Godard)
(goddeer01,Ernie,Godden)
(godfrwa01,Warren,Godfrey)
(godined01,Eddy,Godin)
(godinsa01,Sam,Godin)
(godynal01,Alexander,Godynyuk)
(goegape01,Pete,Goegan)
(goertda01,Dave,Goertz)
(goertst01,Steven,Goertzen)
(goldhbo01,Bob,Goldham)
(goldmer01,Erich,Goldmann)
(goldsbi01,Bill,Goldsworthy)
(goldsle01,Leroy,Goldsworthy)
(goldtbi01,Bill,Goldthorpe)
(goldugl01,Glenn,Goldup)
(golduha01,Hank,Goldup)
(golemfr01,Frank,Golembrosky)
(goligal01,Alex,Goligoski)
(golouco01,Cody,Goloubef)
(golubya01,Yan,Golubovsky)
(gomezsc01,Scott,Gomez)
(gonchse01,Sergei,Gonchar)
(goneada01,Daniel,Goneau)
(goodebi01,Bill,Gooden)
(goodela01,Larry,Goodenough)
(goodfeb01,Ebbie,Goodfellow)
(goodmpa01,Paul,Goodman)
(gordivi01,Viktor,Gordiouk)
(gordoan01,Andrew,Gordon)
(gordobo01,Boyd,Gordon)
(gordodo01,Don,Gordon)
(gordofr01,Fred,Gordon)
(gordoja01,Jack,Gordon)
(gordoro01,Robb,Gordon)
(gordosc01,Scott,Gordon)
(gorenle01,Lee,Goren)
(gorento01,Tom,Gorence)
(gorgejo01,Josh,Gorges)
(gorinbu01,Butch,Goring)
(gormada01,Dave,Gorman)
(gormaed01,Ed,Gorman)
(gossebe01,Benoit,Gosselin)
(gosseda01,David,Gosselin)
(gossegu01,Guy,Gosselin)
(gossema01,Mario,Gosselin)
(gosseri01,Rich,Gosselin)
(gotaast01,Steve,Gotaas)
(gottsjo01,Johnny,Gottselig)
(gouldbo01,Bobby,Gould)
(gouldjo01,John,Gould)
(gouldla01,Larry,Gould)
(goulemi01,Michel,Goulet)
(goupire01,Red,Goupille)
(goveda01,David,Gove)
(govedch01,Chris,Govedaris)
(goverda01,David,Goverde)
(goyerge01,Gerry,Goyer)
(goyetph01,Phil,Goyette)
(grabnmi01,Michael,Grabner)
(grabomi01,Mikhail,Grabovski)
(graboto01,Tony,Graboski)
(grachev01,Evgeny,Grachev)
(gracibo01,Bob,Gracie)
(gradith01,Thomas,Gradin)
(gragnma01,Marc-Andre,Gragnani)
(grahadi01,Dirk,Graham)
(grahajo01,John,Grahame)
(grahale01,Leth,Graham)
(grahapa01,Pat,Graham)
(graharo01,Rod,Graham)
(graharo02,Ron,Grahame)
(grahate01,Ted,Graham)
(granato01,Tony,Granato)
(grandje01,Jean-Luc,Grand-Pierre)
(grannt01,T,Grannery)
(grantbe01,Benny,Grant)
(grantbu01,Buck,Grant)
(grantda01,Danny,Grant)
(grantdo01,Doug,Grant)
(granttr01,Triston,Grant)
(grattbe01,Benoit,Gratton)
(grattbi01,Bill,Gratton)
(grattch01,Chris,Gratton)
(grattda01,Dan,Gratton)
(grattgi01,Gilles,Gratton)
(grattje01,Jean-Guy,Gratton)
(grattjo01,Josh,Gratton)
(grattno01,Norm,Gratton)
(gravead01,Adam,Graves)
(gravehi01,Hilliard,Graves)
(gravejo01,John,Gravel)
(gravele01,Leo,Gravelle)
(gravest01,Steve,Graves)
(grayal01,Alex,Gray)
(grayge01,Gerry,Gray)
(grayha01,Harrison,Gray)
(grayjo01,John,Gray)
(grayte01,Terry,Gray)
(grebede01,Denis,Grebeshkov)
(greenan01,Andy,Greene)
(greenco01,Colin,Greening)
(greenje01,Jeff,Greenlaw)
(greenjo01,Josh,Green)
(greenky01,Kyle,Greentree)
(greenma01,Matt,Greene)
(greenmi01,Mike,Greenlay)
(greenmi02,Mike,Green)
(greenmi03,Mike,Green)
(greenre01,Red,Green)
(greenri01,Rick,Green)
(greensh01,Shorty,Green)
(greente01,Ted,Green)
(greentr01,Travis,Green)
(greggra01,Randy,Gregg)
(greigbr01,Bruce,Greig)
(greigma01,Mark,Greig)
(greisth01,Thomas,Greiss)
(grenilu01,Lucien,Grenier)
(grenima01,Martin,Grenier)
(greniri01,Richard,Grenier)
(grescro01,Ron,Greschner)
(gresdga01,Gary,Gresdal)
(gretzbr01,Brent,Gretzky)
(gretzwa01,Wayne,Gretzky)
(grierdo01,Don,Grierson)
(griermi01,Mike,Grier)
(grievbr01,Brent,Grieve)
(griffsi01,Si,Griffis)
(griggch01,Chris,Grigg)
(grigoge01,George,Grigor)
(grimsst01,Stu,Grimson)
(grisdjo01,John,Grisdale)
(grolefr01,Francois,Groleau)
(gronmtu01,Tuomas,Gronman)
(gronsja01,Jari,Gronstrand)
(gronsll01,Lloyd,Gronsdahl)
(gronst01,Stanislav,Gron)
(grosemi01,Michal,Grosek)
(grossdo01,Don,Grosso)
(grossll01,Lloyd,Gross)
(grossni01,Niklas,Grossman)
(grosvle01,Len,Grosvenor)
(groulte01,Teddy,Groulx)
(groulwa01,Wayne,Groulx)
(grudejo01,John,Gruden)
(gruenda01,Danny,Gruen)
(gruhlsc01,Scott,Gruhl)
(grypbo01,Bob,Gryp)
(guayfr01,Francois,Guay)
(guaypa01,Paul,Guay)
(gudbrer01,Erik,Gudbranson)
(guenest01,Steve,Guenette)
(guenina01,Nate,Guenin)
(guerada01,Daniel,Guerard)
(guerast01,Stephane,Guerard)
(gueribi01,Bill,Guerin)
(guevrhy01,Hyacinthe,Guevremont)
(guevrjo01,Jocelyn,Guevremont)
(guidoal01,Aldo,Guidolin)
(guidobe01,Bep,Guidolin)
(guindbo01,Bobby,Guindon)
(guitebe01,Ben,Guite)
(guitepi01,Pierre,Guite)
(gulkabu01,Bud,Gulka)
(gulobvl01,Vladimir,Gulobovich)
(gunn01,,Gunn)
(gunnaca01,Carl,Gunnarsson)
(guollst01,Steve,Guolla)
(gurenmi01,Miloslav,Guren)
(gusaral01,Alexei,Gusarov)
(gusevse01,Sergey,Gusev)
(gusmara01,Ravil,Gusmanov)
(gustabe01,Bengt-Ake,Gustafsson)
(gustade01,Derek,Gustafson)
(gustaer01,Erik,Gustafsson)
(gustajo01,Jonas,Gustavsson)
(gustape01,Peter,Gustavsson)
(gustape02,Per,Gustafsson)
(guyke01,Kevan,Guy)
(haakaka01,Kari,Haakana)
(haanpar01,Ari,Haanpaa)
(haas01,,Haas)
(haasda01,David,Haas)
(haasde01,Derek,Haas)
(habscma01,Marc,Habscheid)
(hachble01,Len,Hachborn)
(hackeje01,Jeff,Hackett)
(hackema01,Matt,Hackett)
(haddoll01,Lloyd,Haddon)
(hadfivi01,Vic,Hadfield)
(hagelca01,Carl,Hagelin)
(haggaji01,Jim,Haggarty)
(haggese01,Sean,Haggerty)
(hagglro01,Roger,Hagglund)
(hagmama01,Matti,Hagman)
(hagmani01,Niklas,Hagman)
(haguebi01,Billy,Hague)
(hahlri01,Riku,Hahl)
(haidygo01,Gord,Haidy)
(hainsge01,George,Hainsworth)
(hainsro01,Ron,Hainsey)
(hajduri01,Richard,Hajdu)
(hajdust01,Stanislav,Hajdusek)
(hajtbi01,Bill,Hajt)
(hajtch01,Chris,Hajt)
(hakanan01,Anders,Hakansson)
(halakja01,Jaroslav,Halak)
(haldeha01,Harold,Halderson)
(haleda01,David,Hale)
(halela01,Larry,Hale)
(haleyle01,Len,Haley)
(haleymi01,Michael,Haley)
(halisma01,Matt,Halischuk)
(halkibo01,Bob,Halkidis)
(halkost01,Steven,Halko)
(hallad01,Adam,Hall)
(hallbo01,Bob,Hall)
(hallde01,Del,Hall)
(halleke01,Kevin,Haller)
(hallgl01,Glenn,Hall)
(hallima01,Mats,Hallin)
(hallimi01,Milt,Halliday)
(halljo01,Joe,Hall)
(hallmu01,Murray,Hall)
(hallta01,Taylor,Hall)
(hallta02,Taylor,Hall)
(hallwa01,Wayne,Hall)
(halpeje01,Jeff,Halpern)
(halvetr01,Trevor,Halverson)
(halwado01,Doug,Halward)
(hamelde01,Denis,Hamel)
(hamelgi01,Gilles,Hamel)
(hamelhe01,Herb,Hamel)
(hamelje01,Jean,Hamel)
(hamelpi01,Pierre,Hamel)
(hamhuda01,Dan,Hamhuis)
(hamilal01,Al,Hamilton)
(hamilch01,Chuck,Hamilton)
(hamilja01,Jack,Hamilton)
(hamilje01,Jeff,Hamilton)
(hamilji01,Jim,Hamilton)
(hamilre01,Reg,Hamilton)
(hamilre02,Red,Hamill)
(hamilry01,Ryan,Hamilton)
(hamilza01,Zach,Hamill)
(hammain01,Inge,Hammarstrom)
(hammoke01,Ken,Hammond)
(hamnecr01,Craig,Hamner)
(hamontr01,Travis,Hamonic)
(hampsgo01,Gord,Hampson)
(hampste01,Ted,Hampson)
(hamptri01,Rick,Hampton)
(hamrlro01,Roman,Hamrlik)
(hamrra01,Radek,Hamr)
(hamwama01,Mark,Hamway)
(handral01,Alf,Handrahan)
(handyro01,Ron,Handy)
(handzmi01,Michal,Handzus)
(haneyme01,Merv,Haney)
(hangsal01,Al,Hangsleben)
(hankibe01,Ben,Hankinson)
(hankica01,Casey,Hankinson)
(hanlogl01,Glen,Hanlon)
(hannada01,Dave,Hannan)
(hannajo01,John,Hanna)
(hannasc01,Scott,Hannan)
(hannigo01,Gord,Hannigan)
(hannipa01,Pat,Hannigan)
(hannira01,Ray,Hannigan)
(hanseja01,Jannik,Hansen)
(hanseri01,Richie,Hansen)
(hanseta01,Tavis,Hansen)
(hansiro01,Ron,Hansis)
(hansoch01,Christian,Hanson)
(hansoda01,Dave,Hanson)
(hansoem01,Emil,Hanson)
(hansoke01,Keith,Hanson)
(hansoos01,Oscar,Hanson)
(hanzama01,Martin,Hanzal)
(harbani01,Nick,Harbaruk)
(hardije01,Jeff,Harding)
(hardijo01,Josh,Harding)
(hardyjo01,Joe,Hardy)
(hardyma01,Mark,Hardy)
(hargrji01,Jim,Hargreaves)
(hargrte01,Ted,Hargreaves)
(harjujo01,Johan,Harju)
(harkede01,Derek,Harker)
(harkibr01,Brett,Harkins)
(harkito01,Todd,Harkins)
(harloda01,David,Harlock)
(harlosc01,Scott,Harlow)
(harmogl01,Glen,Harmon)
(harmsjo01,John,Harms)
(harnowa01,Walter,Harnott)
(harpete01,Terry,Harper)
(harreti01,Tim,Harrer)
(harri01,,Harriston)
(harribi01,Billy,Harris)
(harribi02,Billy,Harris)
(harridu01,Duke,Harris)
(harried01,Ed,Harrison)
(harriha01,Hago,Harrington)
(harrihe01,Henry,Harris)
(harrihu01,Hugh,Harris)
(harrija01,Jay,Harrison)
(harriji01,Jim,Harrison)
(harripa01,Paul,Harrison)
(harriro01,Ron,Harris)
(harrism01,Smokey,Harris)
(harrite01,Ted,Harris)
(harrope01,Peter,Harrold)
(hartge01,Gerry,Hart)
(hartgi01,Gizzy,Hart)
(hartima01,Mark,Hartigan)
(hartite01,Teemu,Hartikainen)
(hartmmi01,Mike,Hartman)
(hartnsc01,Scott,Hartnell)
(hartri01,Rich,Hart)
(hartscr01,Craig,Hartsburg)
(harvebu01,Buster,Harvey)
(harvedo01,Doug,Harvey)
(harvehu01,Hugh,Harvey)
(harvemi01,Michel,Harvey)
(harveto01,Todd,Harvey)
(hasekdo01,Dominik,Hasek)
(hassabo01,Bob,Hassard)
(hatchde01,Derian,Hatcher)
(hatchke01,Kevin,Hatcher)
(hatoued01,Ed,Hatoum)
(hauerbr01,Brett,Hauer)
(hausead01,Adam,Hauser)
(havelni01,Niclas,Havelid)
(havlama01,Martin,Havlat)
(hawerda01,Dale,Hawerchuk)
(hawgogr01,Greg,Hawgood)
(hawkito01,Todd,Hawkins)
(haworal01,Alan,Haworth)
(haworgo01,Gord,Haworth)
(hawryne01,Neil,Hawryliw)
(haybi01,Bill,Hay)
(haydada01,Darren,Haydar)
(haydw01,Dwayne,Hay)
(hayekpe01,Peter,Hayek)
(hayesch01,Chris,Hayes)
(hayesji01,Jimmy,Hayes)
(hayge01,George,Hay)
(hayji01,Jim,Hay)
(haynepa01,Paul,Haynes)
(haywabr01,Brian,Hayward)
(haywari01,Rick,Hayward)
(hazlest01,Steve,Hazlett)
(headdo01,Don,Head)
(headga01,Galen,Head)
(headlfe01,Fern,Headley)
(healeer01,Eric,Healey)
